iter	Passed	Remaining
1627	26538	6064
1628	26552	6047
1629	26567	6030
1630	26581	6013
1631	26595	5997
1632	26609	5980
1633	26623	5963
1634	26651	5949
1635	26665	5932
1636	26680	5916
1637	26696	5899
1638	26710	5883
1639	26727	5866
1640	26742	5850
1641	26756	5833
1642	26772	5817
1643	26787	5800
1644	26801	5783
1645	26815	5767
1646	26829	5750
1647	26854	5735
1648	26868	5719
1649	26883	5702
1650	26898	5686
1651	26913	5669
1652	26928	5652
1653	26942	5636
1654	26957	5619
1655	26971	5602
1656	26987	5586
1657	27002	5569
1658	27016	5553
1659	27031	5536
1660	27045	5519
1661	27060	5503
1662	27075	5486
